console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,total_sales_outlier,na_sales_outlier,jp_sales_outlier,pal_sales_outlier,other_sales_outlier,sales_cluster,log_sales,total_sales_minmax,na_sales_minmax,jp_sales_minmax,pal_sales_minmax,other_sales_minmax,critic_score_zscore,release_year,release_year_bin,na_ratio,jp_ratio,pal_ratio,other_ratio,has_regional_data,publisher_game_count,developer_game_count
WII,ACTION,2K PLAY,HIGH VOLTAGE SOFTWARE,7.5,0.58,0.52,0.0,0.02,0.04,2008-10-27,0,1,0,0,0,0,0.4574248470388754,0.03531598513011153,0.05327868852459017,0.0,0.0029112081513828236,0.016260162601626015,0.12180651366298145,2008.0,era_3,0.8965517241379312,0.0,0.03448275862068966,0.06896551724137932,1,17,34
SAT,ACTION,CAPCOM,NEXTECH,7.3,0.17,0.0,0.17,0.0,0.0,1997-08-31,0,0,1,0,0,0,0.15700374880966478,0.009913258983890958,0.0,0.07981220657276995,0.0,0.0,-0.17427649340381893,1997.0,era_1,0.0,1.0,0.0,0.0,1,219,1
NES,ACTION,OCEAN,OCEAN,7.5,0.36,0.25,0.0,0.1,0.01,1993-06-01,0,0,0,0,0,2,0.3074846997479606,0.021685254027261465,0.025614754098360656,0.0,0.01455604075691412,0.004065040650406504,0.12180651366298145,1993.0,era_1,0.6944444444444444,0.0,0.2777777777777778,0.02777777777777778,1,5,2
DS,ACTION,2K PLAY,2K GAMES,7.5,0.18,0.16,0.0,0.0,0.01,2009-11-10,0,0,0,0,0,2,0.16551443847757338,0.01053283767038414,0.01639344262295082,0.0,0.0,0.004065040650406504,0.12180651366298145,2009.0,era_3,0.888888888888889,0.0,0.0,0.05555555555555556,1,17,4
PSP,ACTION,NAMCO,XPEC,7.5,0.03,0.03,0.0,0.0,0.0,2006-09-12,0,0,0,0,0,0,0.0295588022415444,0.0012391573729863693,0.0030737704918032786,0.0,0.0,0.0,0.12180651366298145,2006.0,era_2,1.0,0.0,0.0,0.0,1,89,4
PS,ACTION,INFOGRAMES,OCEAN,7.5,0.24,0.13,0.0,0.09,0.02,1998-11-01,0,0,0,0,0,0,0.2151113796169455,0.014250309789343248,0.013319672131147542,0.0,0.013100436681222705,0.008130081300813007,0.12180651366298145,1998.0,era_1,0.5416666666666667,0.0,0.375,0.08333333333333334,1,23,2
PS4,ACTION,UBISOFT,UBISOFT MONTREAL,7.5,4.14,1.25,0.09,2.16,0.65,2014-11-11,1,1,1,1,1,1,1.6370530794670737,0.2558859975216852,0.1280737704918033,0.04225352112676056,0.314410480349345,0.26422764227642276,0.12180651366298145,2014.0,era_5,0.30193236714975846,0.021739130434782608,0.5217391304347827,0.15700483091787443,1,483,87
PS,ACTION,PSYGNOSIS,PSYGNOSIS,7.5,0.04,0.02,0.0,0.02,0.0,1996-02-01,0,0,0,0,0,0,0.039220713153281295,0.0018587360594795542,0.0020491803278688526,0.0,0.0029112081513828236,0.0,0.12180651366298145,1996.0,era_1,0.5,0.0,0.5,0.0,1,9,6
PS3,ACTION,NIS AMERICA,APOLLO,7.5,0.02,0.0,0.02,0.0,0.0,2014-06-17,0,0,0,0,0,0,0.019802627296179712,0.0006195786864931847,0.0,0.009389671361502348,0.0,0.0,0.12180651366298145,2014.0,era_5,0.0,1.0,0.0,0.0,1,71,1
DS,ACTION,THQ,TOSE SOFTWARE,7.5,0.34,0.31,0.0,0.0,0.03,2007-10-16,0,0,0,0,0,2,0.29266961396282,0.0204460966542751,0.031762295081967214,0.0,0.0,0.012195121951219511,0.12180651366298145,2007.0,era_2,0.9117647058823529,0.0,0.0,0.08823529411764705,1,350,12
XONE,ACTION,BETHESDA SOFTWORKS,ARKANE STUDIOS,7.5,0.86,0.47,0.0,0.31,0.08,2016-11-10,0,0,0,1,1,0,0.6205764877251099,0.0526641883519207,0.04815573770491803,0.0,0.045123726346433767,0.03252032520325203,0.12180651366298145,2016.0,era_5,0.5465116279069767,0.0,0.3604651162790698,0.09302325581395349,1,50,5
PS3,ACTION,ACTIVISION,TOYS FOR BOB,7.5,0.23,0.12,0.0,0.08,0.03,2008-11-04,0,0,0,0,0,0,0.20701416938432615,0.013630731102850065,0.012295081967213115,0.0,0.011644832605531294,0.012195121951219511,0.12180651366298145,2008.0,era_3,0.5217391304347826,0.0,0.34782608695652173,0.13043478260869565,1,501,22
X360,ACTION,CAPCOM,CAPCOM,7.5,1.97,1.12,0.07,0.61,0.16,2012-10-02,1,1,1,1,1,0,1.0885619528146082,0.1214374225526642,0.11475409836065575,0.03286384976525822,0.08879184861717612,0.06504065040650406,0.12180651366298145,2012.0,era_4,0.5685279187817259,0.03553299492385787,0.3096446700507614,0.08121827411167513,1,219,155
PS2,ACTION,ACTIVISION,MTO,7.5,0.43,0.21,0.0,0.16,0.05,2009-10-20,0,0,0,0,0,0,0.35767444427181594,0.02602230483271376,0.02151639344262295,0.0,0.02328966521106259,0.02032520325203252,0.12180651366298145,2009.0,era_3,0.4883720930232558,0.0,0.37209302325581395,0.11627906976744187,1,501,16
X360,ACTION,EIDOS INTERACTIVE,CRYSTAL DYNAMICS,7.9,0.39,0.12,0.0,0.22,0.05,2007-10-23,0,0,0,1,0,0,0.3293037471426004,0.02354399008674102,0.012295081967213115,0.0,0.03202328966521106,0.02032520325203252,0.7139725277965822,2007.0,era_2,0.30769230769230765,0.0,0.5641025641025641,0.12820512820512822,1,83,18
3DS,ACTION,BANDAI NAMCO,BANDAI NAMCO GAMES,7.5,0.08,0.0,0.08,0.0,0.0,2012-11-22,0,0,1,0,0,2,0.07696104113612832,0.004337050805452294,0.0,0.03755868544600939,0.0,0.0,0.12180651366298145,2012.0,era_4,0.0,1.0,0.0,0.0,1,167,109
XONE,ACTION,WARNER BROS. INTERACTIVE ENTERTAINMENT,TRAVELLER'S TALES,7.5,0.22,0.14,0.0,0.06,0.02,2018-10-30,0,0,0,0,0,0,0.1988508587451652,0.01301115241635688,0.01434426229508197,0.0,0.008733624454148471,0.008130081300813007,0.12180651366298145,2018.0,era_5,0.6363636363636365,0.0,0.2727272727272727,0.09090909090909091,1,75,79
PC,ACTION,UBISOFT,UBISOFT MONTREAL,7.5,0.02,0.0,0.0,0.01,0.0,2008-02-26,0,0,0,0,0,0,0.019802627296179712,0.0006195786864931847,0.0,0.0,0.0014556040756914118,0.0,0.12180651366298145,2008.0,era_3,0.0,0.0,0.5,0.0,1,483,87
DS,ACTION,ACTIVISION,N-SPACE,7.0,0.06,0.05,0.0,0.01,0.0,2010-11-02,0,0,0,0,0,2,0.05826890812397577,0.0030978934324659233,0.005122950819672132,0.0,0.0014556040756914118,0.0,-0.6184010040040188,2010.0,era_4,0.8333333333333334,0.0,0.16666666666666669,0.0,1,501,12
GC,ACTION,EA,"HYPNOS ENTERTAINMENT, INC.",8.7,0.69,0.53,0.0,0.14,0.02,2003-11-05,0,1,0,0,0,2,0.5247285289349821,0.04213135068153656,0.054303278688524595,0.0,0.020378457059679767,0.008130081300813007,1.898304556063781,2003.0,era_1,0.7681159420289856,0.0,0.20289855072463772,0.028985507246376815,1,679,2
GBA,ACTION,THQ,VICARIOUS VISIONS,7.5,0.39,0.28,0.0,0.1,0.01,2003-11-04,0,0,0,0,0,2,0.3293037471426004,0.02354399008674102,0.02868852459016394,0.0,0.01455604075691412,0.004065040650406504,0.12180651366298145,2003.0,era_1,0.717948717948718,0.0,0.25641025641025644,0.02564102564102564,1,350,45
PS2,ACTION,TAKARA,SHOEISHA,7.5,0.06,0.0,0.06,0.0,0.0,2001-06-28,0,0,1,0,0,0,0.05826890812397577,0.0030978934324659233,0.0,0.028169014084507043,0.0,0.0,0.12180651366298145,2001.0,era_1,0.0,1.0,0.0,0.0,1,9,1
PS2,ACTION,CAPCOM,ACQUIRE,7.5,0.33,0.05,0.23,0.04,0.01,2004-07-07,0,0,1,0,0,0,0.2851789422336624,0.019826517967781912,0.005122950819672132,0.107981220657277,0.005822416302765647,0.004065040650406504,0.12180651366298145,2004.0,era_2,0.15151515151515152,0.696969696969697,0.12121212121212122,0.030303030303030304,1,219,14
GC,ACTION,CAPCOM,CLOVER STUDIO,7.5,0.22,0.17,0.0,0.04,0.01,2004-11-18,0,0,0,0,0,2,0.1988508587451652,0.01301115241635688,0.017418032786885248,0.0,0.005822416302765647,0.004065040650406504,0.12180651366298145,2004.0,era_2,0.7727272727272728,0.0,0.18181818181818182,0.045454545454545456,1,219,4
PS2,ACTION,CAPCOM,CAVIA INC.,7.5,0.17,0.04,0.09,0.03,0.01,2005-08-23,0,0,1,0,0,0,0.15700374880966478,0.009913258983890958,0.004098360655737705,0.04225352112676056,0.004366812227074236,0.004065040650406504,0.12180651366298145,2005.0,era_2,0.23529411764705882,0.5294117647058822,0.1764705882352941,0.058823529411764705,1,219,7
GC,ACTION,NAMCO,POINT OF VIEW,7.5,0.07,0.05,0.0,0.01,0.0,2003-11-21,0,0,0,0,0,2,0.06765864847381481,0.003717472118959109,0.005122950819672132,0.0,0.0014556040756914118,0.0,0.12180651366298145,2003.0,era_1,0.7142857142857143,0.0,0.14285714285714285,0.0,1,89,21
